Device_ID,Video_ID,Duration_Watched (minutes),Genre,Country,Age,Gender,Subscription_Status,Ratings,Languages,Device_Type,Location,Playback_Quality,Interaction_Events
157,93,10.78898741,5,238,17,1,0,2,1,3,1565,2,80
197,99,56.16787235,5,126,22,0,1,4,3,4,1276,1,43
227,62,51.51818599,3,95,41,0,1,2,1,0,3653,0,29
680,74,40.38912083,5,123,18,0,1,4,2,4,55,0,92
883,41,83.36721266,5,233,34,0,1,5,0,2,2175,2,42
535,29,28.79111673,2,37,53,0,1,5,1,0,601,1,26
291,61,11.92844319,2,39,39,1,1,4,1,1,2714,2,59
386,87,27.56905351,1,189,59,1,0,2,2,3,4452,1,50
935,91,108.3444954,1,114,56,1,1,4,0,4,948,2,86
689,94,23.9109335,4,85,38,1,1,3,4,2,1070,2,10
265,20,112.6792405,1,36,59,0,1,5,4,4,1274,0,20
610,40,56.13074579,4,59,44,1,0,3,4,1,4832,1,6
220,36,110.7277659,1,62,68,0,1,5,1,3,69,0,91
536,91,1.492285893,0,107,54,0,1,2,1,1,4918,1,93
143,90,22.43143209,1,174,28,0,0,4,0,2,494,2,70
108,76,118.2318343,3,95,15,0,1,1,1,2,2532,0,84
414,48,82.48528976,1,74,61,0,1,3,0,0,4959,1,70
632,59,113.9321482,2,77,68,1,0,1,1,4,712,2,8
605,31,49.70014027,3,91,46,0,0,2,1,1,2718,0,39
329,60,93.28918491,1,74,51,0,0,5,3,1,2887,2,48
903,55,36.77763917,5,156,60,1,1,3,4,3,3466,0,11
93,31,35.07944136,5,70,64,0,1,4,0,0,1898,2,73
657,99,69.33730899,4,231,33,1,1,1,3,1,2529,1,43
593,68,15.02436249,5,70,26,0,0,5,4,1,3515,1,51
305,76,85.60350554,0,11,12,0,1,3,0,2,1752,0,62
610,88,58.25408367,3,75,28,1,0,1,3,2,3164,2,27
993,27,107.4498691,1,44,70,1,1,2,4,1,943,1,98
863,41,7.30285106,3,11,65,1,1,4,2,1,3907,2,28
350,62,97.62325887,2,44,45,0,0,3,4,4,1212,2,91
80,56,10.32018542,0,174,63,0,0,2,4,4,958,2,27
969,93,96.8027847,2,39,29,1,0,3,0,1,411,0,86
30,43,26.46769745,1,209,51,1,1,1,4,2,4894,2,77
316,32,80.0547276,2,52,37,0,0,2,2,2,4947,0,25
500,58,112.643652,1,174,70,0,0,1,0,0,5038,1,52
19,73,25.10556833,0,158,28,0,0,3,3,3,4733,2,31
142,73,86.28855983,5,191,23,0,1,2,4,1,3549,2,40
62,94,73.4790817,0,53,21,1,1,2,0,2,593,2,76
131,98,70.15724566,3,123,38,1,1,2,2,2,4888,1,97
688,88,20.14490804,5,18,15,1,1,5,4,0,3863,0,70
282,71,44.22259765,5,223,32,1,0,1,4,4,4932,0,94
418,19,97.28504816,5,68,28,0,1,1,3,1,3945,0,30
363,90,33.29576608,2,195,46,1,1,5,0,2,3824,1,70
900,38,47.17159633,4,70,36,1,1,4,2,3,780,2,17
472,78,115.6533625,4,17,45,0,1,2,0,3,4814,2,27
332,52,57.19727191,0,75,45,0,1,1,0,2,1040,0,61
985,8,42.01317198,4,236,32,1,1,1,2,1,260,1,96
697,59,118.3293541,0,201,39,0,0,4,4,2,2576,2,5
379,56,33.50362201,2,57,34,0,0,4,3,3,847,1,70
768,77,29.43424624,2,218,65,1,0,5,2,0,3558,2,2
45,91,9.75119485,5,214,39,1,0,1,1,1,2686,2,1
303,54,60.24207711,1,25,23,1,0,2,0,0,1865,2,55
405,96,63.71549074,1,202,17,0,1,1,1,3,1548,1,21
608,49,69.06728459,2,192,44,1,0,3,0,1,407,2,28
136,83,25.24349669,0,23,62,1,1,4,3,2,4848,0,0
53,96,19.56857625,1,43,27,1,0,3,3,2,4402,0,15
884,33,13.46666907,4,192,68,0,1,2,0,3,708,0,1
644,48,69.66279999,0,24,15,0,0,1,3,1,3505,2,89
26,42,11.42151118,0,138,26,1,0,1,1,3,2309,2,85
699,88,11.88083832,4,158,29,0,1,3,0,0,299,2,93
470,23,107.4490587,2,165,17,0,1,3,3,3,2252,2,43
862,62,23.36914828,2,210,54,1,0,2,0,3,2753,0,0
365,43,32.30702059,1,111,17,0,1,5,0,2,4787,2,51
794,50,100.1182836,4,95,55,0,0,5,4,0,3701,1,83
260,11,65.51048035,3,104,55,1,0,4,3,0,5062,0,97
601,43,91.6343255,3,86,29,1,1,4,2,4,4059,2,2
231,9,9.459457956,4,32,52,1,1,2,4,3,539,0,2
162,12,0.572291355,5,68,51,0,0,2,1,3,4355,2,11
16,96,87.6064855,1,241,13,1,0,3,3,0,4419,1,2
599,17,65.36991239,1,126,12,1,0,1,0,2,4869,1,63
759,59,61.40427316,5,22,32,0,0,2,4,3,1828,0,80
699,36,39.87708926,1,146,33,0,0,5,1,1,3693,2,37
931,76,103.7258258,1,89,51,0,1,4,3,1,5066,2,48
465,23,71.65603225,0,198,39,0,0,5,1,0,2481,2,3
233,42,97.73021667,0,193,54,1,1,5,3,1,4734,1,27
184,97,116.2249292,1,166,29,0,1,5,0,0,3536,0,29
191,12,101.4379385,1,228,37,0,1,1,2,0,300,0,70
606,1,27.912266,2,160,23,0,1,3,4,3,1975,2,6
31,24,3.752129028,2,129,58,0,1,4,3,3,1754,1,85
448,36,82.29024851,5,236,49,0,1,1,1,3,1465,2,40
779,42,46.43830096,3,206,53,0,0,5,2,3,204,1,85
684,80,56.87129035,0,118,45,1,1,1,3,3,5007,0,9
752,41,2.815855897,4,137,31,0,1,1,2,3,44,1,66
101,20,106.7575463,1,149,42,0,0,3,3,4,1936,2,74
198,10,97.53550154,1,130,11,1,1,3,2,4,1396,0,100
210,98,40.10740891,1,93,15,0,0,3,3,3,3688,0,66
966,82,86.8779302,4,62,68,0,1,2,0,4,2681,1,55
475,42,74.40986176,1,241,23,1,0,3,0,3,3159,1,9
654,99,26.45343035,5,206,40,0,1,5,1,2,2107,0,77
857,63,46.64757173,4,104,36,0,1,1,4,2,2629,0,69
650,48,3.239287598,0,114,48,0,0,4,3,3,3331,2,100
734,67,100.0931909,3,45,23,1,0,3,0,2,2201,0,38
869,13,53.15924224,3,19,36,1,0,3,0,2,3957,2,12
722,13,107.5391161,0,33,41,1,0,1,1,4,4513,0,88
491,87,49.83259913,0,114,37,1,1,2,3,4,458,1,85
791,29,8.420891586,4,21,55,0,0,3,3,4,2605,0,47
490,62,50.59415804,2,115,42,0,1,3,1,4,3059,2,82
57,18,11.77125882,4,10,31,0,0,2,4,4,3005,2,64
941,49,60.7304703,5,35,63,1,0,2,1,0,3899,1,62
682,32,91.92095467,3,10,63,0,0,1,3,2,374,1,38
323,17,106.2918364,0,65,48,1,1,4,2,3,3682,0,100
839,25,80.11955326,0,26,44,1,0,5,3,3,3033,0,89
63,66,97.94333602,1,44,52,0,0,4,3,4,83,1,31
736,90,43.4536937,0,240,57,0,1,1,4,0,5085,2,82
851,2,31.65289046,4,150,30,0,0,3,1,2,4959,2,73
377,46,63.95278962,2,132,16,0,1,4,1,3,2294,2,14
996,79,111.3701128,2,124,38,0,0,2,4,0,1607,1,85
323,83,45.63331517,0,165,12,0,1,5,0,0,2403,1,43
397,32,119.1713011,5,99,10,1,0,2,4,3,4805,1,89
146,90,6.881380112,2,189,13,0,1,2,0,4,1439,2,37
965,37,98.07262212,4,13,33,0,0,4,0,2,3285,2,28
978,88,1.964962249,2,51,34,0,1,3,2,2,2375,0,19
289,90,107.5047802,2,130,63,0,0,5,2,0,3184,0,84
976,70,43.02014452,1,69,48,1,0,1,1,0,1804,0,31
132,40,11.44701567,1,125,27,1,1,4,3,0,4451,1,74
494,79,83.37925336,0,10,61,1,0,4,4,1,1761,1,88
116,53,78.86547354,1,242,67,0,1,3,2,3,5016,2,45
558,55,4.618294838,0,109,15,0,0,5,4,2,2776,1,90
534,64,103.4076035,1,96,10,1,1,5,0,4,486,1,93
646,56,50.81947003,0,136,36,1,1,1,2,2,5025,1,11
633,49,92.96688008,5,111,58,1,1,1,3,2,1057,2,2
463,5,106.1382736,2,23,38,0,1,1,4,4,1795,2,99
130,2,50.74618522,5,223,39,0,1,1,0,2,2163,2,56
444,67,75.97736226,1,153,15,0,0,1,3,1,1484,0,26
951,18,36.03882712,4,150,64,0,1,3,3,2,2965,2,94
718,61,116.2450089,1,82,55,0,1,3,1,0,369,0,43
717,44,15.12710842,1,142,22,1,0,2,3,0,2839,2,40
994,42,24.49882773,3,54,45,0,1,2,2,0,2674,0,67
137,20,21.90683452,4,106,44,0,1,4,3,4,118,0,18
382,36,72.29826159,0,39,20,1,1,4,1,4,2927,1,35
264,54,4.48205808,3,25,50,0,1,5,0,2,1858,2,40
711,82,93.65383736,0,123,58,1,1,5,4,2,4283,2,60
336,17,93.20553339,1,119,32,1,0,2,4,4,3688,0,80
598,24,110.477113,1,11,25,1,0,2,2,4,3464,2,63
483,42,20.95528521,2,96,69,0,0,3,1,1,3851,0,86
699,12,80.57217751,2,162,22,0,1,3,1,1,1775,1,90
435,76,108.8244472,2,31,24,0,0,1,2,4,2707,2,9
147,35,108.8269491,2,177,54,1,1,3,0,1,2894,2,63
478,35,98.24558532,3,189,49,1,0,2,4,2,695,1,35
983,59,102.5608642,3,29,67,1,1,5,4,3,2026,2,62
59,32,63.87290729,2,75,67,1,1,5,1,2,450,1,44
451,56,52.61037754,3,136,56,0,1,4,2,3,4666,0,89
328,87,99.09985625,1,184,13,1,1,2,0,4,4936,0,94
313,62,114.8549427,3,156,63,0,1,3,4,4,2653,1,53
289,15,85.14118667,3,227,52,1,1,3,3,2,1969,1,33
438,6,104.5118344,3,108,61,1,0,4,1,2,4960,2,33
533,15,30.19676733,3,167,28,1,0,4,1,0,2849,0,97
127,24,117.1435211,0,118,43,1,1,3,4,2,1371,0,75
270,32,104.9158181,3,167,13,0,1,2,2,3,1764,0,95
923,29,43.89000593,4,190,48,0,1,2,0,2,1366,0,0
239,4,63.95970793,4,222,31,0,1,5,2,4,1776,2,35
425,24,29.81763149,3,46,53,0,1,3,0,1,4065,2,34
184,20,46.74948095,3,226,14,1,1,3,1,1,573,1,26
201,61,3.993244989,0,184,30,0,0,3,0,0,3530,2,0
186,80,48.61887807,2,192,40,1,1,2,2,3,1150,0,56
195,57,30.8868382,4,112,43,1,1,5,4,3,4897,2,50
811,41,72.64239947,1,145,64,1,0,3,4,0,562,0,76
284,7,53.54471098,3,135,52,1,0,3,0,3,3075,2,61
891,76,49.85054811,2,189,68,1,1,1,2,4,3868,1,54
372,7,14.58183578,0,200,17,0,1,2,3,4,534,2,44
35,50,28.60831912,1,224,52,0,1,1,0,0,2547,1,44
745,9,10.63521635,5,32,21,0,0,2,4,0,2176,1,95
252,36,43.7519982,2,221,17,0,0,3,1,3,2982,2,36
164,60,110.7428915,0,29,36,1,1,4,2,3,4231,0,59
535,21,53.28021024,3,89,17,0,1,2,0,0,4966,2,44
826,38,86.444245,1,183,18,0,1,4,3,4,3476,0,23
457,86,118.0534295,4,15,29,1,1,5,1,2,2295,0,90
80,93,53.80280446,4,205,69,1,1,2,4,2,2674,1,80
745,98,94.4202747,1,218,37,0,1,5,1,4,240,2,91
455,53,45.69355377,5,221,56,1,1,5,4,3,3382,2,19
186,88,6.782514666,0,156,18,1,1,4,1,2,3707,1,9
402,1,52.2345147,1,109,11,0,0,2,3,4,4974,0,48
913,86,19.73369037,1,56,38,1,0,1,1,0,827,2,49
305,29,39.08564366,0,227,12,0,0,5,4,0,4315,1,38
668,47,17.64097151,0,228,15,0,0,3,4,3,497,1,49
997,49,99.85018843,3,242,47,0,1,2,4,1,435,0,31
288,5,5.329922496,0,113,21,0,0,3,3,3,606,2,74
190,45,69.19622578,0,182,15,0,0,3,3,3,4011,2,5
732,97,97.78571424,0,118,23,0,0,4,0,2,555,2,97
316,11,64.19680199,5,168,31,0,0,1,1,0,1664,1,9
996,36,51.33310801,1,25,60,1,0,2,4,2,4043,0,28
859,90,102.5806769,3,161,40,1,1,5,1,2,3159,1,79
965,69,33.06389459,5,36,58,0,1,5,4,1,5127,1,11
345,56,35.75982967,5,197,11,0,1,1,3,4,2687,0,81
268,33,97.35567294,5,181,38,1,1,1,2,3,3092,0,97
76,68,53.53091582,2,240,67,1,1,2,2,2,3271,2,6
18,12,107.9922542,2,49,50,1,1,2,3,2,423,0,49
160,37,13.50356913,1,66,41,0,1,1,1,2,4012,0,74
918,25,85.69581208,4,113,63,1,1,2,0,2,3433,1,84
217,7,110.6964932,2,15,59,1,0,1,2,3,4949,1,20
578,66,99.99737043,3,194,15,1,1,2,4,3,1915,0,3
606,83,58.59554116,2,66,57,0,1,5,4,4,2224,1,57
136,47,94.22384466,4,188,47,1,0,1,4,1,453,1,44
501,15,112.412407,5,88,50,1,1,1,2,3,1969,0,7
618,82,28.62714525,1,153,70,0,1,5,4,4,5151,2,36
444,52,95.92987478,2,114,67,0,1,5,4,2,3714,2,40
359,79,29.87677849,1,164,41,1,0,5,4,1,2936,2,40
873,29,9.361388398,1,50,51,0,1,4,2,1,3174,2,50
433,33,18.36594473,5,162,33,0,1,1,1,1,3042,2,16
177,76,10.6729922,5,182,28,1,0,5,0,0,1830,0,90
181,53,17.07678425,4,112,31,1,0,2,4,3,4939,1,63
394,84,24.63177116,5,115,17,0,1,2,4,1,1730,1,60
135,3,49.90463441,2,48,54,1,0,4,0,1,1504,1,76
737,55,9.92838735,0,193,61,1,0,2,2,2,105,0,50
494,71,118.6424425,1,147,65,0,0,3,3,0,833,1,29
222,28,21.55112334,2,136,32,1,0,3,3,2,3269,2,71
792,18,30.19471901,3,211,59,1,0,3,4,0,305,1,96
478,78,110.0547901,2,127,47,1,0,4,4,3,2705,0,49
120,100,22.46357722,3,152,41,1,1,5,2,2,1549,2,15
468,5,2.645317743,0,97,49,0,1,1,3,3,5087,1,92
897,52,59.32340369,2,238,63,0,1,4,1,1,3799,1,7
714,71,14.24581256,3,227,41,0,0,1,4,1,3342,2,29
374,14,86.8065433,4,187,46,1,1,4,2,3,3534,0,51
777,98,54.25030293,4,120,59,0,0,2,0,3,2210,1,45
525,6,84.13833823,3,10,34,0,1,4,0,4,3506,2,88
968,19,42.75474491,0,67,70,0,1,3,2,3,408,1,78
561,51,18.42021198,3,99,23,1,1,4,3,4,3807,1,88
249,97,98.45844944,5,55,27,1,1,4,1,4,3999,2,46
820,62,101.5529781,0,200,15,1,1,5,0,2,4894,0,62
508,14,116.9612715,2,147,56,1,0,4,3,1,4107,0,99
325,36,28.38057333,3,185,34,1,1,5,2,3,5050,1,48
647,20,46.50772412,3,53,51,1,1,5,0,1,1357,2,81
333,39,77.51133358,5,122,17,1,0,3,1,3,2130,1,37
687,69,16.37512033,5,68,43,0,0,1,0,3,2974,1,95
395,58,110.6668654,0,176,18,0,1,2,1,1,2372,0,57
95,47,106.7740941,5,37,33,0,1,3,4,3,3098,2,89
256,8,2.10901251,0,134,24,0,0,5,1,2,3588,1,99
3,86,82.00805669,3,187,34,1,0,2,0,0,3451,0,48
276,14,100.7544064,4,171,42,1,0,3,1,0,662,1,57
16,74,30.51868384,0,192,50,0,0,1,0,0,1964,2,91
82,25,109.1484218,5,189,53,0,1,4,0,3,603,2,18
241,49,66.0118348,2,175,28,1,0,5,0,1,2152,1,9
737,47,0.988812171,3,30,55,0,0,2,3,3,155,0,63
615,25,69.39407923,0,233,19,1,1,1,2,0,4326,2,50
705,86,47.96691346,3,207,54,0,0,3,4,3,1695,1,68
785,49,113.1252105,1,0,65,1,1,5,1,0,246,2,24
648,34,69.34004628,3,36,20,0,1,4,0,3,4996,0,9
232,54,64.49048786,2,236,43,1,0,3,4,4,1146,2,83
795,97,90.39894889,4,238,31,1,0,5,0,3,2793,1,74
302,11,65.68645757,1,49,39,0,0,4,2,4,2033,0,5
961,67,115.2667288,1,161,14,0,1,3,4,2,992,2,71
354,50,49.52143125,4,210,44,1,1,3,0,2,3852,1,34
492,77,15.98113338,4,110,30,1,0,2,4,4,229,0,40
300,84,82.32725414,5,242,40,1,1,4,2,1,1230,1,81
116,14,84.693362,4,183,12,1,0,1,2,4,5057,0,25
967,6,85.76627596,4,134,48,1,0,2,1,2,790,1,20
340,59,86.56072122,3,62,21,1,1,3,1,4,2521,0,61
303,14,25.72091366,5,82,65,1,0,1,0,1,2640,0,28
361,90,33.27510271,3,28,19,1,1,5,0,1,4672,0,31
765,63,3.230938443,3,51,16,1,1,2,1,2,2012,2,97
213,79,86.35442652,5,49,37,1,1,3,1,0,2827,1,70
310,44,4.107698757,5,111,66,0,0,4,3,1,4313,1,37
767,73,62.74675489,4,36,69,1,0,4,1,0,1740,1,79
39,64,68.50497681,1,66,54,0,1,1,4,3,4595,0,76
268,2,63.22501666,4,186,28,0,0,1,0,1,1458,0,91
838,44,59.89089391,1,95,18,0,0,5,2,4,3365,1,51
621,26,112.5359397,5,154,29,1,0,1,3,0,2873,1,58
905,35,115.2400094,2,87,43,1,0,1,1,0,2829,0,10
249,100,34.04184696,1,238,16,0,0,5,4,4,3681,0,24
339,5,68.78505072,3,234,23,0,0,3,1,0,1239,1,61
216,13,72.09116328,5,88,20,0,1,1,1,4,2458,0,97
818,59,13.17991699,3,46,52,1,0,2,1,1,2251,0,31
152,84,23.97422416,0,196,29,0,0,3,2,0,917,2,28
311,13,85.96974351,5,139,53,0,1,4,0,3,2406,2,100
357,73,54.80675601,2,105,48,1,1,2,0,4,2928,2,83
150,89,71.42414994,1,160,27,1,1,4,2,2,2623,1,12
623,20,41.71935693,0,237,32,0,0,1,2,3,3435,2,68
360,1,91.31527782,0,192,55,1,0,5,0,3,1557,2,49
799,69,107.0471149,2,38,40,1,1,3,0,2,891,0,6
742,40,15.87683802,0,44,51,0,1,1,4,2,4341,0,33
301,59,117.3381229,1,204,24,1,1,5,4,3,920,1,62
647,11,103.6771516,5,52,25,0,0,5,1,3,3731,2,25
788,32,27.52468836,5,239,13,1,1,5,4,4,1768,0,36
893,92,55.44505713,3,161,66,0,0,5,4,1,597,2,29
195,96,80.4097228,3,219,60,0,1,3,0,0,4019,1,38
151,43,10.46424849,3,209,53,0,1,5,0,4,1912,2,79
331,3,31.5644775,5,92,41,1,1,1,2,3,2059,2,68
734,100,99.23434546,4,129,64,1,1,1,1,3,1249,0,80
882,55,9.622872973,4,3,10,1,0,1,4,2,906,1,2
302,26,41.9531818,3,181,24,1,1,5,2,0,2660,2,85
497,22,15.43567087,2,95,62,0,0,5,0,3,1847,1,24
828,34,97.92036657,2,155,44,1,0,4,1,4,3599,0,77
22,74,5.04882208,4,174,68,0,0,4,4,3,4626,1,82
407,37,30.30483483,3,115,68,1,0,1,4,4,3037,0,40
11,31,85.08371718,3,114,19,0,1,1,3,0,944,2,27
675,62,42.5682015,0,153,36,1,0,3,3,2,1629,1,71
186,85,111.1233341,1,145,53,1,0,2,4,1,4824,1,73
719,14,75.73258012,2,232,69,0,1,3,4,4,1187,1,38
17,70,13.60007043,1,230,28,1,1,2,1,4,3030,2,72
415,96,117.4397458,0,144,61,1,0,4,4,2,2413,2,38
539,2,101.6059843,3,167,58,1,0,4,4,1,3013,2,67
355,40,16.49872134,5,105,68,0,0,3,4,4,4729,0,5
192,91,44.28501594,2,138,21,1,1,5,2,3,5067,1,87
857,38,92.26257747,4,106,33,1,0,1,3,1,2287,2,11
958,90,47.75308138,3,114,39,0,0,4,1,2,4078,0,13
43,93,6.878666866,3,168,54,0,0,4,0,3,4880,1,36
639,21,99.03551971,2,218,66,0,1,3,4,3,2285,1,84
297,16,17.2364078,1,107,68,1,1,3,2,1,1541,0,5
184,15,119.5647516,0,52,22,0,1,3,1,3,2948,2,8
403,20,23.24164563,1,138,66,0,0,5,1,3,3422,0,57
400,18,104.9324503,3,188,68,0,1,2,4,2,526,2,14
728,15,33.42351491,5,209,53,0,0,4,3,4,1805,2,17
799,52,83.79606296,5,115,25,1,0,5,2,1,2741,1,48
698,47,62.85453137,5,220,13,1,1,3,1,0,5129,2,23
109,19,2.412846477,0,124,60,1,0,2,3,4,3495,0,19
658,58,33.36077231,4,1,50,0,1,4,0,2,2513,2,94
425,79,96.18132466,4,141,58,1,1,2,4,0,29,2,47
837,56,105.4554193,0,202,16,1,1,2,1,0,817,0,59
895,53,12.41108236,3,87,27,0,0,3,3,0,504,2,13
578,44,95.42540415,2,210,52,1,0,2,2,2,385,1,97
864,33,103.9678102,3,175,25,0,0,1,0,4,3817,1,22
172,43,70.24855347,3,24,14,0,0,5,1,3,1876,2,37
98,71,101.0247465,0,42,52,1,1,1,0,4,1757,0,95
892,52,22.55236892,2,241,57,1,1,3,4,3,2647,2,100
57,73,111.7986679,3,169,28,1,0,1,2,1,4598,2,49
292,8,81.23234419,2,191,11,1,1,2,3,1,3661,0,9
580,77,40.9871916,2,37,58,0,1,2,0,1,4227,1,45
974,77,53.59743015,3,48,56,1,1,5,3,4,1504,0,15
712,99,22.63901274,2,94,20,0,1,5,1,2,3182,0,24
109,47,4.034583739,4,88,31,1,1,5,1,0,3064,0,43
947,81,26.10585473,3,237,59,0,0,5,4,1,4281,1,19
233,10,90.06958115,4,128,19,1,1,1,0,1,2158,0,65
688,2,46.78025499,3,107,13,0,1,4,2,0,4518,2,30
508,8,39.37325487,0,92,36,1,0,1,0,4,1308,2,83
75,29,25.52495267,0,82,56,1,0,4,2,4,4501,1,6
30,90,10.5098614,1,174,61,1,0,1,4,0,1481,1,80
386,48,101.4484637,3,132,36,0,0,4,1,0,1563,2,16
702,21,49.75825123,2,135,35,0,1,5,3,0,4393,2,65
611,8,71.21978392,2,187,30,1,1,5,2,0,3432,0,35
569,74,99.18506238,0,35,39,1,1,1,0,2,2227,2,68
619,35,109.2056843,0,194,11,1,1,4,0,0,2058,2,34
356,5,45.5804426,2,193,57,1,0,4,3,4,3101,0,77
451,48,59.01118804,0,64,66,0,1,3,1,0,2137,2,19
516,5,31.00574741,2,74,67,0,1,2,2,2,560,1,86
205,15,78.44702117,4,15,14,1,0,1,4,1,2432,1,25
854,22,75.99704824,5,78,65,0,1,5,3,1,3710,0,51
153,80,52.5397162,3,164,15,1,1,5,3,4,1307,1,22
95,88,82.24348728,5,146,48,1,1,4,2,2,3441,2,35
543,36,76.44486511,1,228,69,1,1,4,3,0,3127,2,99
579,78,18.43813745,5,201,28,0,1,3,1,4,4046,0,7
159,75,98.08376976,1,152,38,0,1,3,1,3,2010,0,60
698,96,65.79996053,0,118,31,1,1,5,2,1,2393,0,42
548,82,110.8253219,2,185,68,0,1,4,0,3,221,1,45
293,92,53.60634802,4,56,69,0,1,3,3,1,2110,2,95
707,74,34.91467224,5,141,13,0,1,5,0,4,161,0,19
674,87,56.65790361,0,156,25,0,1,1,0,4,4358,0,16
51,48,39.80250449,4,30,46,0,0,3,3,0,3309,2,91
783,56,1.295195094,3,14,54,0,0,5,0,0,975,2,72
204,61,14.82875566,4,128,40,0,1,4,0,3,4657,0,96
734,24,78.41668166,0,153,68,1,0,1,3,0,13,2,50
668,90,1.669789961,3,190,41,0,1,2,3,2,4474,2,56
50,98,64.71655842,4,207,41,0,0,3,1,2,1479,1,86
532,18,91.49413445,4,7,69,1,0,4,0,2,2438,0,92
559,77,62.58204659,4,161,33,0,0,1,1,1,4768,0,5
667,89,38.19946859,4,234,33,0,0,3,1,4,1959,0,66
716,39,112.8493153,4,9,31,1,1,4,3,2,4937,2,36
927,61,53.07533428,5,15,69,1,1,2,2,2,5030,1,75
656,1,33.04978861,0,72,38,0,1,3,2,2,1663,0,99
21,39,26.50916417,0,71,66,0,0,3,2,4,261,1,85
766,80,13.48505442,5,207,14,1,0,2,1,4,3877,0,24
171,63,50.62779318,4,42,28,1,0,5,0,0,919,1,84
225,29,44.45051553,1,153,67,1,0,3,1,2,1405,2,98
347,78,83.87433697,0,60,10,1,0,3,1,4,2328,1,73
907,87,73.67194323,1,163,25,0,1,4,2,0,2380,1,50
981,90,107.6831642,3,17,23,0,0,2,3,0,4758,2,64
435,80,51.42469866,1,238,23,1,0,5,2,3,734,2,30
422,19,30.02966567,3,154,59,1,1,2,1,0,3068,2,58
406,75,55.90488607,0,3,55,0,1,2,1,0,4458,2,78
976,96,58.24151567,0,41,51,1,0,4,2,2,2690,2,96
53,3,89.221429,1,142,29,0,0,1,4,3,4256,0,46
234,28,4.603918382,0,132,20,1,1,1,4,1,3965,1,99
656,81,86.09397675,2,220,26,0,1,3,4,0,2402,2,9
640,25,72.58340361,2,98,40,1,0,1,0,4,3900,2,56
807,100,57.92719492,5,225,21,1,0,3,1,2,1105,0,7
56,78,55.23307236,3,221,30,0,1,4,2,0,1812,1,26
299,8,19.2728457,0,42,21,0,1,4,2,4,1420,1,40
626,30,118.9164667,0,65,12,0,0,3,4,4,1111,0,68
273,67,18.91963428,5,43,15,0,1,3,0,1,3717,2,22
832,50,7.859498886,3,76,13,0,1,1,1,1,1427,1,36
326,22,55.3340982,0,224,54,1,1,4,1,0,1979,0,53
